url,price,currency,retailer_sku,datepulled,sku1,sku2,sku3,sku4
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-3-Tool-Campers-Kit-with-Area-Light-Bluetooth-Speaker-4-in-Clamp-Fan-1-5-Ah-Battery-and-Charger-PCL1303K1/317325250,133.79,USD,,10/28/2025,PCL1303K1,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Compact-Battery-Cultivator-with-2-0-Ah-Battery-and-Charger-P2990/320454525,149,USD,,10/28/2025,P2990,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Compact-Glue-Gun-Tool-Only-P306/313948121,34.97,USD,,10/28/2025,P306,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Compact-Glue-Gun-Kit-with-1-5-Ah-Battery-and-18V-Charger-P306K1/320095883,49.97,USD,,10/28/2025,P306K1,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Compact-Fixed-Base-Router-Tool-Only-PCL424B/320033032,99,USD,,10/28/2025,PCL424B,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Compact-Router-Kit-with-2-0-Ah-Battery-and-Charger-PCL424K1/320639499,119,USD,,10/28/2025,PCL424K1,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Compact-Workshop-Blower-Tool-Only-P755/301289973,59.97,USD,,10/28/2025,P755,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Corner-Cat-Finish-Sander-Tool-Only-PCL416B/318531835,49.97,USD,,10/28/2025,PCL416B,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-2-Tool-Combo-Kit-with-Corner-Cat-Finish-Sander-5-in-Random-Orbit-Sander-4-0-Ah-Battery-and-Charger-PCL416K1-PCL406B/320688453,159,USD,,10/28/2025,PCL406B,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Cut-Out-Tool-Tool-Only-PCL540B/320222332,59,USD,,10/28/2025,PCL540B,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cut-Out-Tool-Kit-with-1-5-Ah-Battery-and-Charger-PCL540K1/320639506,85.93,USD,,10/28/2025,PCL540K1,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Drain-Auger-Tool-Only-P4001/206405601,88.19,USD,,10/28/2025,P4001,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Dual-Function-Inflator-Deflator-Tool-Only-PCL031B/326666980,39.97,USD,,10/28/2025,PCL031B,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Dual-Function-Inflator-Kit-with-2-0Ah-Battery-and-Charger-PCL031K1/326781669,99,USD,,10/28/2025,PCL031K1,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Dual-Temperature-Glue-Gun-w-10-Glue-Sticks-Tool-Only-P307/315309751,64.97,USD,,10/28/2025,P307,,,
